"S1","S2"
294.5,21.72
298.14,21.73
291.76,21.61
296.41,21.74
298.92,21.71
303.79,21.63
304.83,21.47
305.64,21.39
301.79,21.27
302.14,21.39
300.85,21.47
306.16,21.58
310.99,21.73
311.22,21.52
322.78,21.42
326.65,21.36
331.12,21.41
332.04,21.42
331.92,21.58
332.34,21.69
334.89,21.73
333.05,21.86
338.01,21.95
344.58,22.17
353.77,22.39
354.47,22.37
355.66,22.48
352.59,22.57
350.21,22.44
344.89,22.25
353.17,22.4
362.2,22.53
358.46,22.46
360.23,22.32
354.11,22.37
355.38,22.42
353.97,22.35
367.53,22.54
371.23,22.55
365.19,22.38
349.43,22.33
344.29,21.97
340.9,22.06
338.15,21.91
340.53,22.17
335.73,21.98
344.85,22.22
346.64,22.38
349.84,22.35
352.32,22.65
367.27,22.88
371.45,23.04
361.27,22.86
360.26,22.91
363.46,22.65
359.84,22.49
361.29,22.37
362.06,22.46
363.94,22.38
372.32,22.67
373.13,22.5
373.45,22.43
382.52,22.75
376.14,22.51
372.22,22.62
371.31,22.59
377.45,22.62
380.25,22.36
382.88,22.48
373.23,22.3
375.28,22.41
381.71,22.58
377.43,22.51
361.09,22.33
345.08,22.03
340.19,21.84
329.27,21.75
328.9,21.55
331.47,21.52
335.63,21.41
337.03,21.49
332.2,21.5
329.41,21.49
334.71,21.73
333.68,21.78
331.06,21.67
326.38,21.73
321.31,21.71
331.21,21.65
328.53,21.62
331.79,21.79
335.56,21.86
338.71,22.06
342.34,22.11
346.22,22.17
347.09,22.26
344.21,22.21
355.28,22.51
350.1,22.32
350.63,22.23
346.63,22.09
357.77,22.28
352.58,22.09
